,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R2 Accuracy,,,,,,,,,,,,,,,,,,,,,,R2 Accuracy,,,,,,,MSE Results,,,,,,,,,,,,,,,,,,,,,MSE Results,,,,,,,,RMSE Results,,,,,,,,,,,,,,,,,,,,,,RMSE Results,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Model (3 Years),Training City,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Avg of Means,Avg of STDev,,Training City,Same-City Testing [R2],Same-City Score,Testing on all Cities [R2],Same-City Score,,,,,Model (3 Years),Training City,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Avg of Means,Avg of STDev,,Training City,Same-City Testing [MSE],Same-City Score,Testing on all Cities [MSE],Same-City Score,,,,,Model (Regression),Training City,Testing City,Mean,STDev,Testing City,Mean,STDev,Testing City,Mean,STDev,Testing City,Mean,STDev,Testing City,Mean,STDev,Avg of Means,Avg of STDev,,Training City,Same-City Testing [RMSE],Same-City Score,Testing on all Cities [RMSE],Same-City Score,,
,,Linear,"Amherst, MA","Amherst, MA",0.746261127,0.00261988,"Davis, CA",0.284829336,0.014261573,"Huron, CA",-21.65647689,0.241206995,"Santa Barbara, CA",-20.76740449,0.382918939,"La Jolla, CA",-27.62153352,1.170843489,-13.80286489,0.362370175,,"Amherst, MA",Ensemble Bagging,0.818208,GRU,0.802737,,,,,Linear,"Amherst, MA","Amherst, MA",0.025163,0.000672,"Davis, CA",0.1910447,0.0041370,"Huron, CA",0.1910447,0.0041370,"Santa Barbara, CA",0.38331585,0.01415164,"La Jolla, CA",0.3576886,0.0144364,0.229651413,0.007506842,,"Amherst, MA",GRU,0.013731,LSTM,0.088025,,,,,Linear,"Amherst, MA","Amherst, MA",0.15861979,0.002123064,"Davis, CA",0.43706959,0.00471816,"Huron, CA",0.4370696,0.0047182,"Santa Barbara, CA",0.6190541,0.0114773,"La Jolla, CA",0.5979886,0.0121388,0.449960348,0.007035113,,"Amherst, MA",GRU,#REF!,LSTM,#REF!,,
,,Ridge,"Amherst, MA","Amherst, MA",0.746261282,0.002621163,"Davis, CA",0.284531366,0.014267741,"Huron, CA",-21.64683739,0.241266294,"Santa Barbara, CA",-20.75636271,0.382613574,"La Jolla, CA",-27.60715473,1.169953368,-13.79591244,0.362144428,,"Amherst, MA",Kernel Ridge,0.808784,NuSVR,0.701983,,,,,Ridge,"Amherst, MA","Amherst, MA",0.025161,0.000672,"Davis, CA",0.1897002,0.0043962,"Huron, CA",0.1897002,0.0043962,"Santa Barbara, CA",0.38484764,0.01451507,"La Jolla, CA",0.3588129,0.0146893,0.229644453,0.007733691,,"Amherst, MA",LSTM,0.013846,SVR,0.187704,,,,,Ridge,"Amherst, MA","Amherst, MA",0.15861360,0.00212194,"Davis, CA",0.43552652,0.00503029,"Huron, CA",0.4355265,0.0050303,"Santa Barbara, CA",0.6202867,0.0117492,"La Jolla, CA",0.5989253,0.0123327,0.449775732,0.007252889,,"Amherst, MA",LSTM,#REF!,SVR,0.299399,,
,,Linear SGD Regressor,"Amherst, MA","Amherst, MA",0.724997385,0.004210591,"Davis, CA",0.617333702,0.021231633,"Huron, CA",0.579077048,0.010509876,"Santa Barbara, CA",0.282008424,0.020078709,"La Jolla, CA",0.194160042,0.084478644,0.47951532,0.028101891,,"Amherst, MA",GRU,0.802711,MLP NN,0.630215,,,,,Linear SGD Regressor,"Amherst, MA","Amherst, MA",0.026381,0.000385,"Davis, CA",0.2734113,0.0124275,"Huron, CA",0.2734113,0.0124275,"Santa Barbara, CA",0.24087355,0.01741248,"La Jolla, CA",0.2224611,0.0153875,0.207307719,0.011608094,,"Amherst, MA",Ensemble Bagging,0.017601,Elastic Net,0.206656,,,,,Linear SGD Regressor,"Amherst, MA","Amherst, MA",0.16242082,0.00118559,"Davis, CA",0.52279708,0.01190413,"Huron, CA",0.5227971,0.0119041,"Santa Barbara, CA",0.4905755,0.0177157,"La Jolla, CA",0.4714697,0.0163120,0.434012036,0.011804299,,"Amherst, MA",Ensemble Bagging,0.132658,Elastic Net,0.433328,,
,,Partial Least Squares,"Amherst, MA","Amherst, MA",0.746213581,0.002659655,"Davis, CA",0.322248406,0.010443562,"Huron, CA",-23.45909969,0.386634818,"Santa Barbara, CA",-21.43241506,0.322750196,"La Jolla, CA",-28.32970174,1.136954509,-14.4305509,0.371888548,,"Amherst, MA",SVR,0.780876,Nearest Neighbors,0.611633,,,,,Partial Least Squares,"Amherst, MA","Amherst, MA",0.025153,0.000668,"Davis, CA",0.1803583,0.0062077,"Huron, CA",0.1803583,0.0062077,"Santa Barbara, CA",0.39527990,0.01732712,"La Jolla, CA",0.3666442,0.0168277,0.229558681,0.009447570,,"Amherst, MA",Kernel Ridge,0.017968,Linear SGD Regressor,0.207308,,,,,Partial Least Squares,"Amherst, MA","Amherst, MA",0.15858648,0.00210992,"Davis, CA",0.42464464,0.00727430,"Huron, CA",0.4246446,0.0072743,"Santa Barbara, CA",0.6286112,0.0138515,"La Jolla, CA",0.6054038,0.0139873,0.448378141,0.008899453,,"Amherst, MA",Kernel Ridge,0.134039,Linear SGD Regressor,0.434012,,
,,Kernel Ridge,"Amherst, MA","Amherst, MA",0.808783834,0.00211043,"Davis, CA",-2.731470562,0.462151445,"Huron, CA",-5.994654314,0.682619861,"Santa Barbara, CA",-4.469265925,0.842218791,"La Jolla, CA",-3.475538425,0.800813081,-3.172429078,0.557982722,,"Amherst, MA",LSTM,0.786242,Elastic Net,0.595406,,,,,Kernel Ridge,"Amherst, MA","Amherst, MA",0.017968,0.000404,"Davis, CA",0.6972943,0.4934929,"Huron, CA",0.6972943,0.4934929,"Santa Barbara, CA",3.54232035,1.43630478,"La Jolla, CA",2.4844085,1.0207596,1.487857059,0.688890860,,"Amherst, MA",Random Forest,0.019789,Random Forest,0.220896,,,,,Kernel Ridge,"Amherst, MA","Amherst, MA",0.13403889,0.00150873,"Davis, CA",0.80303806,0.28042147,"Huron, CA",0.8030381,0.2804215,"Santa Barbara, CA",1.8578920,0.3685602,"La Jolla, CA",1.5557045,0.3103034,1.030742289,0.248243063,,"Amherst, MA",Random Forest,0.140668,Random Forest,0.421120,,
,,Random Forest,"Amherst, MA","Amherst, MA",0.797974621,0.002523012,"Davis, CA",-0.66510079,0.047402708,"Huron, CA",-5.441490398,0.141550845,"Santa Barbara, CA",-4.50573599,0.153111625,"La Jolla, CA",-7.400904505,0.533124709,-3.443051413,0.17554258,,"Davis, CA",Kernel Ridge,0.968095,GRU,0.924377,,,,,Random Forest,"Amherst, MA","Amherst, MA",0.019789,0.000469,"Davis, CA",0.4408899,0.0029435,"Huron, CA",0.4408899,0.0029435,"Santa Barbara, CA",0.09816674,0.00130314,"La Jolla, CA",0.1047436,0.0013613,0.220895919,0.001804145,,"Davis, CA",Kernel Ridge,0.002101,LSTM,0.088751,,,,,Random Forest,"Amherst, MA","Amherst, MA",0.14066850,0.00166982,"Davis, CA",0.66399293,0.00221703,"Huron, CA",0.6639929,0.0022170,"Santa Barbara, CA",0.3133111,0.0020810,"La Jolla, CA",0.3236366,0.0021011,0.421120414,0.002057187,,"Davis, CA",Kernel Ridge,0.045814,LSTM,#REF!,,
